datum;gremium;top;titel;hinweis;abstimmungshinweis
2026-05-07;Marktgemeinderat;16;Bestellung der Vertreter des Marktes Oberstaufen bei der Musikschule Oberallgäu-Süd e. V. - Beschlussfassung (beschließend);Wahl der weiteren Stellvertreter Die weiteren Bürgermeister, gleichzeitig auch Stellvertreter des Ersten Bürgermeisters, wurden durch Wahl der Gremiumsmitglieder aus deren Kreis bestimmt. Auf Vorschlag der Freien Wähler wurde erneut Markus Geißler (CSU) als 2.;
2026-05-07;Marktgemeinderat;17.1;Bestellung eines Familienbeauftragten - Beschlussfassung (beschließend);Die Ausübung eines Ehrenamtes sei mittlerweile bei weitem keine Selbstverständlic hkeit mehr. Viele würden die damit verbundenen Verpflichtungen scheuen, ob im Verein, in anderen Organisationen oder eben in der Politik.;
2026-05-07;Marktgemeinderat;17.2;Bestellung eines Jugendbeauftragten - Beschlussfassung (beschließend);Die Ausübung eines Ehrenamtes sei mittlerweile bei weitem keine Selbstverständlic hkeit mehr. Viele würden die damit verbundenen Verpflichtungen scheuen, ob im Verein, in anderen Organisationen oder eben in der Politik.;
2026-05-07;Marktgemeinderat;17.3;Bestellung eines Seniorenbeauftragten - Beschlussfassung (beschließend);Die Ausübung eines Ehrenamtes sei mittlerweile bei weitem keine Selbstverständlic hkeit mehr. Viele würden die damit verbundenen Verpflichtungen scheuen, ob im Verein, in anderen Organisationen oder eben in der Politik.;
2026-05-07;Marktgemeinderat;18;Bestellung von Erstem Bürgermeister Martin Beckel zum Standesbeamten - Beschlussfassung (beschließend);Mai 2026 Eröffnung der neuen Sitzungsperiode Erster Bürgermeister Martin Beckel eröffnete seine dritte Amtszeit mit einem kurzen Rückblick auf die Kommunalwahl am 8. März 2026, die im Gremium der Marktgemeinde zu Veränderungen auf acht Positionen führte.;
2026-05-07;Marktgemeinderat;19;Bestellung eines Datenschutzbeauftragten - Beschlussfassung (beschließend);Die Ausübung eines Ehrenamtes sei mittlerweile bei weitem keine Selbstverständlic hkeit mehr. Viele würden die damit verbundenen Verpflichtungen scheuen, ob im Verein, in anderen Organisationen oder eben in der Politik.;
2026-04-16;Marktgemeinderat;2;Tourismus Eigenbetrieb Oberstaufen (beschließend);April 2026 Tourismus Eigenbetrieb Oberstaufen (TEO) Feststellung und Entlastung des kaufmännischen Jahr esabschlusses 2021/kamerale Jahresrechnung 2021 Der Marktgemeinderat (Art. 88 Abs. 4 Satz 1 GO) ste llte die kamerale Jahresrechnung 2021 (Art.;
2026-04-16;Marktgemeinderat;2.1;Feststellung und Entlastung des kaufmännischen Jahresabschlusses 2021 / kamerale Jahresrechnung 2021 - Beschlussfassung;April 2026 Tourismus Eigenbetrieb Oberstaufen (TEO) Feststellung und Entlastung des kaufmännischen Jahr esabschlusses 2021/kamerale Jahresrechnung 2021 Der Marktgemeinderat (Art. 88 Abs. 4 Satz 1 GO) ste llte die kamerale Jahresrechnung 2021 (Art.;
2026-04-16;Marktgemeinderat;2.2;Feststellung und Entlastung des kaufmännischen Jahresabschlusses 2022 / kamerale Jahresrechnung 2022 - Beschlussfassung (beschließend);April 2026 Tourismus Eigenbetrieb Oberstaufen (TEO) Feststellung und Entlastung des kaufmännischen Jahr esabschlusses 2021/kamerale Jahresrechnung 2021 Der Marktgemeinderat (Art. 88 Abs. 4 Satz 1 GO) ste llte die kamerale Jahresrechnung 2021 (Art.;
2026-04-16;Marktgemeinderat;2.3;Neukalkulation Kur- und Fremdenverkehrsbeitrag - Beschlussfassung (beschließend);Neukalkulation Kur- und Fremdenverkehrsbeitrag Die derzeitige Höhe des Kurbeitrags der Marktgemein de basiert auf der Kalkulation aus dem Jahr 2022. Diese Kalkulation umfasst die Jahre 2023 bis einschließlich 2026 mit einem Kalkulationszeitraum von vier Jahren.;
