datum;gremium;top;titel;beschlussstatus;berichte;beschlusshinweis;abstimmungshinweis
2026-06-11;Marktgemeinderat;9;Auftragsvergabe Kanalsanierung im Rahmen der Eigenüberwachungsverordnung (EÜV) 2026 - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2026-06-11;Marktgemeinderat;10;Genehmigung der letzten öffentlichen Sitzungsniederschrift (beschließend);beschließend vorgesehen;1;In den letzten Monaten haben Cyberangriffe im öffentlichen Sektor stark zu genommen. Um die Widerstandsfähigkeit gegen solche Angriffe zu erhöh en, wird nun in eine leistungsfähigere IT-Sicherheitsplattform investier t. Davon erwartet man sich ein erhöhtes Sicherheitsniveau, schnellere Reaktionsfähigkeit im Fall von Angriffen auf die gemeindliche IT, erhöhte Transparenz durch vollstän digen Überblick über die Sicherh;
2026-06-11;Marktgemeinderat;11;Anfragen und Bekanntgaben (informativ);kein beschließender TOP-Titel;1;;
2026-05-20;Bau- und Umweltausschuss;1;Anträge zur Tagesordnung (beschließend);beschließend vorgesehen;0;;
2026-05-20;Bau- und Umweltausschuss;2;Genehmigung der letzten öffentlichen Sitzungsniederschrift (beschließend);beschließend vorgesehen;0;;
2026-05-20;Bau- und Umweltausschuss;3;Bauvoranfragen;kein beschließender TOP-Titel;0;;
2026-05-20;Bau- und Umweltausschuss;4;Auftragsvergaben (beschließend);beschließend vorgesehen;0;;
2026-05-20;Bau- und Umweltausschuss;5;Bauanträge (beschließend);beschließend vorgesehen;0;;
2026-05-20;Bau- und Umweltausschuss;6;Anfragen und Bekanntgaben (informativ);kein beschließender TOP-Titel;0;;
2026-05-19;Haupt- und Finanzausschuss;1;Anträge zur Tagesordnung (beschließend);beschließend vorgesehen;0;;
2026-05-19;Haupt- und Finanzausschuss;2;Haushaltsüberwachung Markt Oberstaufen 2026 - Unterjähriges Berichtswesen (informativ);kein beschließender TOP-Titel;0;;
2026-05-19;Haupt- und Finanzausschuss;3;Verwendung der Ausschüttung 2024 der Sparkasse Allgäu - Beschlussfassung (beschließend);beschließend vorgesehen;0;;
2026-05-19;Haupt- und Finanzausschuss;4;"Erhöhung und Auszahlung Investitionskostenzuschuss (""s'Huimatle"") für den Heimatverein Thalkirchdorf e. V. - Beschlussfassung";kein beschließender TOP-Titel;0;;
2026-05-19;Haupt- und Finanzausschuss;5;Genehmigung der Spendenliste 2025 - Beschlussfassung;kein beschließender TOP-Titel;0;;
2026-05-19;Haupt- und Finanzausschuss;6;Genehmigung der letzten öffentlichen Sitzungsniederschrift (beschließend);beschließend vorgesehen;0;;
2026-05-19;Haupt- und Finanzausschuss;7;Anfragen und Bekanntgaben (informativ);kein beschließender TOP-Titel;0;;
2026-05-07;Marktgemeinderat;1;Eröffnung der neuen Sitzungsperiode des Marktgemeinderates und Verabschiedung ausscheidender Marktgemeinderatsmitglieder (informativ);kein beschließender TOP-Titel;1;;
2026-05-07;Marktgemeinderat;2;Vereidigung der neuen Mitglieder des Marktgemeinderates (beschließend);beschließend vorgesehen;1;;
2026-05-07;Marktgemeinderat;3;Erlass der Satzung zur Regelung von Fragen des örtlichen Gemeindeverfassungsrechts - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2026-05-07;Marktgemeinderat;4;Erlass der Geschäftsordnung für den Marktgemeinderat - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2026-05-07;Marktgemeinderat;5;Bekanntgabe der Fraktionsvorsitzenden (informativ);kein beschließender TOP-Titel;1;;Einstimmig
2026-05-07;Marktgemeinderat;6;Bildung eines Wahlausschusses für die Wahl der weiteren Bürgermeister - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2026-05-07;Marktgemeinderat;7;Wahl der weiteren Bürgermeister (beschließend);beschließend vorgesehen;1;;
2026-05-07;Marktgemeinderat;7.1;Wahl des zweiten Bürgermeisters (beschließend);beschließend vorgesehen;1;;
2026-05-07;Marktgemeinderat;7.2;Wahl des dritten Bürgermeisters (beschließend);beschließend vorgesehen;1;;
2026-05-07;Marktgemeinderat;7.3;Vereidigung des zweiten und/oder dritten Bürgermeisters (beschließend);beschließend vorgesehen;1;;
2026-05-07;Marktgemeinderat;8;Verpflichtung der Bürgermeister auf Geheimhaltung von Angelegenheiten nach Art. 56 a Abs. 1 der Bayerischen Gemeindeordnung (informativ);kein beschließender TOP-Titel;1;;
2026-05-07;Marktgemeinderat;9;Besetzung der Ausschüsse (beschließend);beschließend vorgesehen;1;;Einstimmig
2026-05-07;Marktgemeinderat;9.1;Haupt- und Finanzausschuss- Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2026-05-07;Marktgemeinderat;9.2;Bau- und Umweltausschuss - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2026-05-07;Marktgemeinderat;9.3;Werkausschuss für den Tourismus Eigenbetrieb Oberstaufen (Tourismusausschuss) - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2026-05-07;Marktgemeinderat;9.4;Rechnungsprüfungsausschuss - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2026-05-07;Marktgemeinderat;10;Bestellung eines Vorsitzenden und eines stellvertretenden Vorsitzenden des Rechnungsprüfungsausschusses - Beschlussfassung (beschließend);beschließend vorgesehen;1;Die Ausübung eines Ehrenamtes sei mittlerweile bei weitem keine Selbstverständlic hkeit mehr. Viele würden die damit verbundenen Verpflichtungen scheuen, ob im Verein, in anderen Organisationen oder eben in der Politik.;
2026-05-07;Marktgemeinderat;11;Bestellung der Vertreter des Marktes Oberstaufen in den Aufsichtsrat der Oberstaufen Tourismus Marketing GmbH - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2026-05-07;Marktgemeinderat;12;Bestellung der Vertreter des Marktes Oberstaufen in den Aufsichtsrat der Aquaria Erlebnisbad-Betriebs GmbH - Beschlussfassung (beschließend);beschließend vorgesehen;1;Die Erweiterungen des Außensaunabereichs im Aquaria sowie der Einstieg in die Planungen des Kurhauses waren ebenfalls Meilenstein e. Die Einrichtung des Naturkindergartens, der Umzug des Familienzentrums in die neuen Räume beim Seniorenzentrum, die Sanierung der Schulsportanlage n sowie die Planungen für die Erweiterung des Schulhauses für die Mittagsbetreuung konnten umgesetzt werden.;
2026-05-07;Marktgemeinderat;13;Bestellung der Vertreter des Marktes Oberstaufen in die Schulverbandsversammlung - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2026-05-07;Marktgemeinderat;14;Bestellung der Vertreter des Marktes Oberstaufen für den Stiftungsausschuss der Gräfl.-Königsegg-Rothenfels'schen Spitalstiftung und der Gräfl. Königsegg'schen Waisenhausstiftung - Beschlussfassung (beschließend);beschließend vorgesehen;1;In seiner Rede ging er darauf ein, dass es Grundvoraussetzung für das Funktionieren einer Gesellschaft ist, dass sich Menschen für ande re Menschen engagieren, für die Allgemeinheit einsetzen und Aufgaben übernehmen. Die Ausübung eines Ehrenamtes sei mittlerweile bei weitem keine Selbstverständlic hkeit mehr. Viele würden die damit verbundenen Verpflichtungen scheuen, ob im Verein, in anderen Organisationen oder eben;
2026-05-07;Marktgemeinderat;15;Bestellung der Vertreter des Marktes Oberstaufen für den Stiftungsrat der Leprosenstiftung - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2026-05-07;Marktgemeinderat;16;Bestellung der Vertreter des Marktes Oberstaufen bei der Musikschule Oberallgäu-Süd e. V. - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2026-05-07;Marktgemeinderat;17;Bestellung von Beauftragten (beschließend);beschließend vorgesehen;1;;
2026-05-07;Marktgemeinderat;17.1;Bestellung eines Familienbeauftragten - Beschlussfassung (beschließend);beschließend vorgesehen;1;Die Ausübung eines Ehrenamtes sei mittlerweile bei weitem keine Selbstverständlic hkeit mehr. Viele würden die damit verbundenen Verpflichtungen scheuen, ob im Verein, in anderen Organisationen oder eben in der Politik.;
2026-05-07;Marktgemeinderat;17.2;Bestellung eines Jugendbeauftragten - Beschlussfassung (beschließend);beschließend vorgesehen;1;Die Ausübung eines Ehrenamtes sei mittlerweile bei weitem keine Selbstverständlic hkeit mehr. Viele würden die damit verbundenen Verpflichtungen scheuen, ob im Verein, in anderen Organisationen oder eben in der Politik.;
2026-05-07;Marktgemeinderat;17.3;Bestellung eines Seniorenbeauftragten - Beschlussfassung (beschließend);beschließend vorgesehen;1;Die Ausübung eines Ehrenamtes sei mittlerweile bei weitem keine Selbstverständlic hkeit mehr. Viele würden die damit verbundenen Verpflichtungen scheuen, ob im Verein, in anderen Organisationen oder eben in der Politik.;
2026-05-07;Marktgemeinderat;18;Bestellung von Erstem Bürgermeister M. B. zum Standesbeamten - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2026-05-07;Marktgemeinderat;19;Bestellung eines Datenschutzbeauftragten - Beschlussfassung (beschließend);beschließend vorgesehen;1;Die Ausübung eines Ehrenamtes sei mittlerweile bei weitem keine Selbstverständlic hkeit mehr. Viele würden die damit verbundenen Verpflichtungen scheuen, ob im Verein, in anderen Organisationen oder eben in der Politik.;
2026-05-07;Marktgemeinderat;20;Genehmigung der letzten öffentlichen Sitzungsniederschrift (beschließend);beschließend vorgesehen;1;;
2026-05-07;Marktgemeinderat;21;Anfragen und Bekanntgaben (informativ);kein beschließender TOP-Titel;1;;
2026-04-16;Marktgemeinderat;1;Anträge zur Tagesordnung (beschließend);beschließend vorgesehen;1;;
2026-04-16;Marktgemeinderat;2;Tourismus Eigenbetrieb Oberstaufen (beschließend);beschließend vorgesehen;1;April 2026 Tourismus Eigenbetrieb Oberstaufen (TEO) Feststellung und Entlastung des kaufmännischen Jahr esabschlusses 2021/kamerale Jahresrechnung 2021 Der Marktgemeinderat (Art. 88 Abs. 4 Satz 1 GO) ste llte die kamerale Jahresrechnung 2021 (Art.;
2026-04-16;Marktgemeinderat;2.1;Feststellung und Entlastung des kaufmännischen Jahresabschlusses 2021 / kamerale Jahresrechnung 2021 - Beschlussfassung;kein beschließender TOP-Titel;1;April 2026 Tourismus Eigenbetrieb Oberstaufen (TEO) Feststellung und Entlastung des kaufmännischen Jahr esabschlusses 2021/kamerale Jahresrechnung 2021 Der Marktgemeinderat (Art. 88 Abs. 4 Satz 1 GO) ste llte die kamerale Jahresrechnung 2021 (Art.;
2026-04-16;Marktgemeinderat;2.2;Feststellung und Entlastung des kaufmännischen Jahresabschlusses 2022 / kamerale Jahresrechnung 2022 - Beschlussfassung (beschließend);beschließend vorgesehen;1;April 2026 Tourismus Eigenbetrieb Oberstaufen (TEO) Feststellung und Entlastung des kaufmännischen Jahr esabschlusses 2021/kamerale Jahresrechnung 2021 Der Marktgemeinderat (Art. 88 Abs. 4 Satz 1 GO) ste llte die kamerale Jahresrechnung 2021 (Art.;
2026-04-16;Marktgemeinderat;2.3;Neukalkulation Kur- und Fremdenverkehrsbeitrag - Beschlussfassung (beschließend);beschließend vorgesehen;1;Neukalkulation Kur- und Fremdenverkehrsbeitrag Die derzeitige Höhe des Kurbeitrags der Marktgemein de basiert auf der Kalkulation aus dem Jahr 2022. Diese Kalkulation umfasst die Jahre 2023 bis einschließlich 2026 mit einem Kalkulationszeitraum von vier Jahren.;
2026-04-16;Marktgemeinderat;3;"Baugebiete ""Auf der Halde"" (Wiedemannsdorf) und ""Am Anger"" (Steibis) (beschließend)";beschließend vorgesehen;1;Baugebiete „Auf der Halde“ (Wiedemannsdorf) und „Am Anger“ (Steibis) Erbbaurechtsvertrag Der Marktgemeinderat hat in der Sitzung vom 17. Sep tember 2025 die wesentlichen Punkte zur Bauplatzvergabe besprochen und Festlegun gen bezüglich des Erbbaurechtvertrages getroffen.;
2026-04-16;Marktgemeinderat;3.1;Erbbaurechtsvertrag - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2026-04-16;Marktgemeinderat;3.2;Festlegung Grundstückswerte - Beschlussfassung (beschließend);beschließend vorgesehen;1;Festlegung Grundstückswerte Bei den Bauplätzen „Am Anger“ in Steibis wurde im Jahr 2017 bereits ein Bauplatzpreis von 190,00 Euro pro m² festgehalten. Unter Berücksichtigung des Verbraucherpreisindex und einer Verzinsung von 3 v. H./pro Jahr ergibt sich ein m² Preis von 297,92 Euro (aufgerundet 300,00 Euro).;
2026-04-16;Marktgemeinderat;4;Auftragsvergaben (beschließend);beschließend vorgesehen;1;;
2026-04-16;Marktgemeinderat;4.1;Spritzdeckenteerung von Straßen und Wanderwegen im Gemeindegebiet - Beschlussfassung (beschließend);beschließend vorgesehen;1;Die Verwaltung sieht deshalb einen m²-Preis von 260,00 Euro/m² ohne Erschließung als realistisch an. Der Marktgemeinderat beschloss einstimmig die Bauplatzpreise wie folgt festzulegen: Am Anger, Steibis: 310,00 Euro pro m² plus ökologische Ausgleichsfläche 10,00 Euro pro m².;einstimmig
2026-04-16;Marktgemeinderat;4.2;Kläranlage, Klärschlammentsorgung - Beschlussfassung (beschließend);beschließend vorgesehen;1;Kläranlage, Klärschlammentsorgung Im Jahr 2019 wurde für die Klärschlammentsorgung im Rahmen einer europaweiten Ausschreibung für die Einkaufsgemeinschaft Allgäu A ngebote eingeholt. Die Einkaufsgemeinschaft Allgäu setzte sich aus den grö ßeren Kläranlage im Allgäuer Raum zusammen. Die Firma Emter aus Altenstadt bei Schongau erhielt als günstigster Bieter den Zuschlag.;
2026-04-16;Marktgemeinderat;4.3;Wasserversorgung, Sanierung Leitungsnetz - Beschlussfassung (beschließend);beschließend vorgesehen;1;Aufgrund der aktuell absehbaren Unwägbarkeiten (Evaluation MOBIL PASS ALLGÄU, Kosten Sanierung Kurhaus, Besteuerung Kurbeitrag) hinsichtlich des in die Kalkulation einzustellenden Deckungsbedarf erscheint es jedoch nicht möglich und auch nicht sinnvoll, eine verlässliche Kalkulation im Laufe de s Jahres 2026 zu erstellen.;
2026-04-16;Marktgemeinderat;5;Ortsrecht (beschließend);beschließend vorgesehen;1;;
2026-04-16;Marktgemeinderat;5.1;Neuerlass der Ortsgestaltungssatzung, Beschlussfassung (beschließend);beschließend vorgesehen;1;Ortsrecht Neuerlass der Ortsgestaltungssatzung Der Marktgemeinderat beschloss einstimmig die neue Ortsgestaltungssatzung in der abgedruckten geänderten und gekürzten Form. Die Aus fertigung der Satzung ist ebenfalls im Marktbauamt und auf der Internetseite www.oberstaufen.info  Rathaus & Bürgerservice  Ortsrecht  Baurecht zu finden. Erlass einer Verordnung über das Offenhalten von Ve rkaufsstellen (verkaufsoffener;einstimmig
