datum;gremium;nummer;titel;vorlage
2024-10-02;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;2;"16. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Waldsee-Bergatreute für die Sonderbaufläche ""Agri-Solarpark Sankt Josef"", Gemarkung Mittelurbach - Abwägung und Feststellungsbeschluss";SV-99/2024
2024-10-02;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;3;"18. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche großflächiger Einzelhandel im Bereich des ""Lebensmittelmarkts"" an der Roßberger Straße, Gemarkung Bergatreute - Abwägung und Entwurfsbeschluss";SV-102/2024
2024-10-07;Ausschuss für Umwelt, Technik und Nachhaltigkeit;1;Bekanntgabe der in nicht öffentlicher Sitzung getroffenen Entscheidung/en;
2024-10-07;Ausschuss für Umwelt, Technik und Nachhaltigkeit;2;Überplanmäßige Ausgabe | Beschaffung des Gerätewagens-Logistik 2 Schlauch (GW-L2S);SV-161/2024
2024-10-07;Ausschuss für Umwelt, Technik und Nachhaltigkeit;3;Beschaffung eines Wechselladerfahrzeugs (WLF 2) für die Freiwillige Feuerwehr Bad Waldsee, Abteilung Stadt;SV-162/2024
2024-10-07;Ausschuss für Umwelt, Technik und Nachhaltigkeit;4;Straßenprogramm 2024 - Durchführung;SV-156/2024
2024-10-07;Ausschuss für Umwelt, Technik und Nachhaltigkeit;5;Verschiedenes;
2024-10-07;Ausschuss für Umwelt, Technik und Nachhaltigkeit;6;Bekanntgaben;
2024-10-14;Gemeinderat;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-10-14;Gemeinderat;2;Informationen des Oberbürgermeisters;
2024-10-14;Gemeinderat;3;Vorstellung der Kriminalstatistik 2023 und Statement zur Sicherheitslage;SV-146/2024
2024-10-14;Gemeinderat;4;Situationsbericht Schädlingsmanagement und Krähen in Bad Waldsee;SV-167/2024
2024-10-14;Gemeinderat;5;Schaffung eines Premium-Wanderwegs in Bad Waldsee;SV-160/2024
2024-10-14;Gemeinderat;6;Änderung der Beteiligungsrichtlinie;SV-153/2024
2024-10-14;Gemeinderat;7;Örtliche Bedarfsplanung für das Kindergartenjahr 2024/25;SV-119/2024
2024-10-14;Gemeinderat;8;Verschiedenes;
2024-10-14;Gemeinderat;9;Bekanntgaben;
2024-11-04;Gemeinderat;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-11-04;Gemeinderat;2;Informationen des Oberbürgermeisters;
2024-11-04;Gemeinderat;3;Ausschreibung PV-Anlagen;SV-174/2024
2024-11-04;Gemeinderat;4;Vergabe der Planungsleistungen für den Anschluss der Kläranlage Reute an die Kläranlage Bad Waldsee;SV-172/2024
2024-11-04;Gemeinderat;5;Entwicklungen am Kiesabbaustandort Mennisweiler – gemeindliches Einvernehmen;SV-183/2024
2024-11-04;Gemeinderat;6;Wirtschaftsfaktor Tourismus in Bad Waldsee: Präsentation aktueller Ergebnisse;SV-113/2024
2024-11-04;Gemeinderat;7;Neubau Sporthalle Döchtbühl- Vorstellung WB Entwurf und weiteres Vorgehen;
2024-11-04;Gemeinderat;8;Änderung der Satzung über die Entschädigung für ehrenamtliche Tätigkeit;SV-179/2024
2024-11-04;Gemeinderat;9;Bestätigung des Verfahrens für Kreditaufnahmen;SV-178/2024
2024-11-04;Gemeinderat;10;Verschiedenes;
2024-11-04;Gemeinderat;11;Bekanntgaben;
2024-11-25;Ausschuss für Umwelt, Technik und Nachhaltigkeit;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-11-25;Ausschuss für Umwelt, Technik und Nachhaltigkeit;2;"Bebauungsplan Teilbereich A ""Drei-Eichen VI"" und die örtlichen Bauvorschriften hierzu, Gemarkungen Reute und Gaisbeuren- Abwägung und Satzungsbeschluss";SV-149/2024
2024-11-25;Ausschuss für Umwelt, Technik und Nachhaltigkeit;3;"Bebauungsplan Teilbereich B ""Drei Eichen VI"" und die örtlichen Bauvorschriften hierzu, Gemarkungen Reute und Gaisbeuren – Aufstellungs- und Überleitungsbeschluss";SV-190/2024
2024-11-25;Ausschuss für Umwelt, Technik und Nachhaltigkeit;4;"Bebauungsplan Teilbereich B ""Drei Eichen VI"" und die örtlichen Bauvorschriften hierzu, Gemarkungen Reute und Gaisbeuren - Abwägung und Entwurfsbeschluss";SV-191/2024
2024-11-25;Ausschuss für Umwelt, Technik und Nachhaltigkeit;5;Entwidmung der Feldwege Flst. 2021 (Teilfläche) und Flst. 2026 (Teilfläche), Gemarkung Michelwinnaden;SV-150/2024
2024-11-25;Ausschuss für Umwelt, Technik und Nachhaltigkeit;6;Jahresabschluss 2023 Eigenbetrieb Städt. Abwasserbeseitigung;SV-195/2024
2024-11-25;Ausschuss für Umwelt, Technik und Nachhaltigkeit;7;Eigenbetrieb Städtische Abwasserbeseitigung - Feststellung der Gebührennachkalkulation, Festlegung des neuen Gebührensatzes sowie Änderung der Abwassersatzung;SV-198/2024
2024-11-25;Ausschuss für Umwelt, Technik und Nachhaltigkeit;8;Bürgerbus - Information über die Kosten;
2024-11-25;Ausschuss für Umwelt, Technik und Nachhaltigkeit;9;Verschiedenes;
2024-11-25;Ausschuss für Umwelt, Technik und Nachhaltigkeit;10;Bekanntgaben;
2024-11-26;Verwaltungsausschuss;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-11-26;Verwaltungsausschuss;2;"Fördertopf ""Soziale Hilfen"" | Zuschüsse für sozial karitativ tätige Vereine und Gruppierungen";SV-186/2024
2024-11-26;Verwaltungsausschuss;3;Grundsteuerreform 2025 – Information und Vorberatung bzgl. des Grundsteuerhebesatzes ab 2025;SV-208/2024
2024-11-26;Verwaltungsausschuss;4;Verschiedenes;
2024-11-26;Verwaltungsausschuss;5;Bekanntgaben;
2024-12-02;Gemeinderat;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-12-02;Gemeinderat;2;Informationen des Oberbürgermeisters;
2024-12-02;Gemeinderat;3;Gesundheitsleitbild Bad Waldsee;
2024-12-02;Gemeinderat;4;Beteiligung an der Kommunalen Beteiligungsgesellschaft Netze BW GmbH & Co. KG;SV-125/2024
2024-12-02;Gemeinderat;5;"Bebauungsplan Teilbereich A ""Drei-Eichen VI"" und die örtlichen Bauvorschriften hierzu, Gemarkungen Reute und Gaisbeuren- Abwägung und Satzungsbeschluss";SV-149/2024
2024-12-02;Gemeinderat;6;Baugebiet „Drei Eichen VI“ – Erschließungsträger, hier: Zeitplan;SV-233/2024
2024-12-02;Gemeinderat;7;Verkaufsoffener Sonntag im Frühling: Ferien- und feiertagsbedingte Erweiterung des Zeitraums der Durchführung des verkaufsoffenen Sonntags um den Monat Mai;SV-180/2024
2024-12-02;Gemeinderat;8;Straßenbauarbeiten an der L 285 zwischen Gaisbeuren und Reute - flankierende städtische Maßnahmen - Durchführungsbeschluss;SV-176/2024
2024-12-02;Gemeinderat;9;Neubau Trafostation zur Anbindung der Stromanschlüsse und PV-Anlagen der Projekte Erweiterung Sporthalle und Erweiterung Gymnasium, Schulzentrum Döchtbühl;SV-193/2024
2024-12-02;Gemeinderat;10;Beitrag zur Jugendsportförderung für die Nutzung der Eugen-Bolz-Halle;SV-216/2024
2024-12-02;Gemeinderat;11;Finanzbericht - Vorläufiges Ergebnis 2023 sowie 3. Quartal 2024;SV-227/2024
2024-12-02;Gemeinderat;12;Eigenbetrieb Städtische Abwasserbeseitigung - Feststellung der Gebührennachkalkulation, Festlegung des neuen Gebührensatzes sowie Änderung der Abwassersatzung;SV-198/2024
2024-12-02;Gemeinderat;13;Landesgartenschau in Bad Waldsee - Bewerbung;SV-231/2024
2024-12-02;Gemeinderat;14;Verschiedenes;
2024-12-02;Gemeinderat;15;Bekanntgaben;
2024-12-09;Gemeinderat;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-12-09;Gemeinderat;2;Informationen des Oberbürgermeisters;
2024-12-09;Gemeinderat;3;Jahresabschlüsse 2023;
2024-12-09;Gemeinderat;4;Bestellung des Abschlussprüfers für das Geschäftsjahr 2024 für den Eigenbetrieb Städtische Rehakliniken;SV-205/2024
2024-12-09;Gemeinderat;5;Bestellung des Abschlussprüfers für das Geschäftsjahr 2024 für die Kurbetriebe Bad Waldsee Dienstleistungs-GmbH;SV-207/2024
2024-12-09;Gemeinderat;6;Bestellung Abschlussprüfer für das Geschäftsjahr 2024 für die Stadtwerke Bad Waldsee GmbH;SV-241/2024
2024-12-09;Gemeinderat;7;Beteiligungsbericht für das Jahr 2023;SV-152/2024
2024-12-09;Gemeinderat;8;Grundsteuerreform 2025 - Festlegung der Hebesätze;SV-203/2024
2024-12-09;Gemeinderat;9;Haushaltsplan und Haushaltssatzung 2025 - Große Kreisstadt Bad Waldsee;
2024-12-09;Gemeinderat;10;Wirtschaftspläne 2025;
2024-12-09;Gemeinderat;11;Kreditaufnahme für den Eigenbetrieb Städt. Abwasserbeseitigung;SV-240/2024
2024-12-09;Gemeinderat;12;Beteiligung an der Kommunalen Beteiligungsgesellschaft Netze BW GmbH & Co. KG;SV-242/2024
2024-12-09;Gemeinderat;13;Verwaltungsgebäude Neues Rathaus, Hauptstraße 12 Durchführungsbeschluss Außenanlagen;SV-243/2024
2024-12-09;Gemeinderat;14;Verschiedenes;
2024-12-09;Gemeinderat;15;Bekanntgaben;
2024-12-09;Gemeinderat;16;Verabschiedung Herr Walter Gschwind;
2025-01-27;Ausschuss für Umwelt, Technik und Nachhaltigkeit;1;Bekanntgabe der in nicht öffentlicher Sitzung getroffenen Entscheidung/en;
2025-01-27;Ausschuss für Umwelt, Technik und Nachhaltigkeit;2;Wirtschaftsplan 2025 - Eigenbetrieb städt. Abwasserbeseitigung;SV-199/2024
2025-01-27;Ausschuss für Umwelt, Technik und Nachhaltigkeit;3;Haushaltsplan und Haushaltssatzung 2025 – Große Kreisstadt Bad Waldsee;SV-202/2024
2025-01-27;Ausschuss für Umwelt, Technik und Nachhaltigkeit;4;"20. Änderung des Flächennutzungsplans im Teilbereich B des Bebauungsplans (R 18) ""Drei-Eichen VI"" der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute, Gemarkung Gaisbeuren - Abwägung der frühzeitigen Beteiligung, Aufstellungs- und Entwurfsbeschluss";SV-249/2024
2025-01-27;Ausschuss für Umwelt, Technik und Nachhaltigkeit;5;"18. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreuge für die Sonderbaufläche großflächiger Einzelhandel im Bereich des ""Lebensmittelmarkts"" an der Roßberger Straße, Gemarkung Bergatreute - Abwägung und Feststellungsbeschluss";SV-250/2024
2025-01-27;Ausschuss für Umwelt, Technik und Nachhaltigkeit;6;Verschiedenes;
2025-01-27;Ausschuss für Umwelt, Technik und Nachhaltigkeit;7;Bekanntgaben;
2025-01-28;Verwaltungsausschuss;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2025-01-28;Verwaltungsausschuss;2;Haushaltsplan und Haushaltssatzung 2025 – Große Kreisstadt Bad Waldsee;SV-202/2024
2025-01-28;Verwaltungsausschuss;3;Verschiedenes;
2025-01-28;Verwaltungsausschuss;4;Bekanntgaben;
2025-02-03;Gemeinderat;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2025-02-03;Gemeinderat;2;Informationen des Oberbürgermeisters;
2025-02-03;Gemeinderat;3;"20. Änderung des Flächennutzungsplans im Teilbereich B des Bebauungsplans (R 18) ""Drei-Eichen VI"" der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute, Gemarkung Gaisbeuren - Abwägung der frühzeitigen Beteiligung, Aufstellungs- und Entwurfsbeschluss";SV-249/2024
2025-02-03;Gemeinderat;4;"18. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreuge für die Sonderbaufläche großflächiger Einzelhandel im Bereich des ""Lebensmittelmarkts"" an der Roßberger Straße, Gemarkung Bergatreute - Abwägung und Feststellungsbeschluss";SV-250/2024
2025-02-03;Gemeinderat;5;Entwidmung der Feldwege Flst. 2021 (Teilfläche) und Flst. 2026 (Teilfläche), Gemarkung Michelwinnaden;SV-3/2025
2025-02-03;Gemeinderat;6;Änderung der Satzung über die Benutzung von Obdachlosen- und Flüchtlingsunterkünften;SV-12/2025
2025-02-03;Gemeinderat;7;Haushaltsplan und Haushaltssatzung 2025 – Große Kreisstadt Bad Waldsee;SV-202/2024
2025-02-03;Gemeinderat;8;Wirtschaftsplan 2025 - Eigenbetrieb städt. Abwasserbeseitigung;SV-199/2024
2025-02-03;Gemeinderat;9;Wirtschaftsplan 2025 - Alten- und Pflegeheim Spital zum Heiligen Geist;SV-200/2024
2025-02-03;Gemeinderat;10;Wirtschaftsplan 2025 - Städtische Rehakliniken;SV-201/2024
2025-02-03;Gemeinderat;11;Annahme und Vermittlung von Spenden und Sponsoring aus dem 2. Halbjahr 2024;SV-248/2024
2025-02-03;Gemeinderat;12;Kindergarten Gaisbeuren - Auftrag an die Verwaltung;SV-11/2025
2025-02-03;Gemeinderat;13;Verschiedenes;
2025-02-03;Gemeinderat;14;Bekanntgaben;
2025-02-04;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;1;"20. Änderung des Flächennutzungsplans im Teilbereich B des Bebauungsplans (R 18) ""Drei-Eichen VI"" der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute, Gemarkung Gaisbeuren - Abwägung der frühzeitigen Beteiligung, Aufstellungs- und Entwurfsbeschluss";SV-249/2024
2025-02-04;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;2;"18. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreuge für die Sonderbaufläche großflächiger Einzelhandel im Bereich des ""Lebensmittelmarkts"" an der Roßberger Straße, Gemarkung Bergatreute - Abwägung und Feststellungsbeschluss";SV-250/2024
2025-02-04;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;3;Verschiedenes;
2025-03-24;Gemeinderat;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2025-03-24;Gemeinderat;2;Informationen des Oberbürgermeisters;
2025-03-24;Gemeinderat;3;Einwohnerfragestunde;
2025-03-24;Gemeinderat;4;Flächenmanagement der Stadt Bad Waldsee Vorstellung des Tätigkeitsbereichs;SV-36/2025
2025-03-24;Gemeinderat;5;Benennung des Weges Flst. Nr. 319, Flst. Nr. 300 (Teilfläche) und Flst. Nr. 300/1 (Teilfläche), Gemarkung Waldsee;SV-24/2025
2025-03-24;Gemeinderat;6;Jahresabschluss 2020 der Stadt Bad Waldsee;SV-20/2025
2025-03-24;Gemeinderat;7;Jahresabschluss 2021 der Stadt Bad Waldsee;SV-21/2025
2025-03-24;Gemeinderat;8;Bauabrechnung Neubau Kindergarten in Reute mit zwei Gruppen;SV-32/2025
2025-03-24;Gemeinderat;9;Bauabrechnung Erweiterung Kindergarten Haisterkirch;SV-33/2025
2025-03-24;Gemeinderat;10;Vorkaufsrechtssatzung Ortsmitte Haisterkirch;SV-246/2024
2025-03-24;Gemeinderat;11;Verschiedenes;
2025-03-24;Gemeinderat;12;Bekanntgaben;
2025-03-31;Arbeitskreis Kinder, Jugend und Bildung;1;Vorstellung der neuen Kinder- und Jugendbeauftragten Frau Weidmann;
2025-03-31;Arbeitskreis Kinder, Jugend und Bildung;2;Schwerpunkt: Bildung für Kinder, Jugendliche und Erwachsene;
2025-03-31;Arbeitskreis Kinder, Jugend und Bildung;3;Themenvorschläge für zukünftige Sitzungen;
2025-03-31;Arbeitskreis Kinder, Jugend und Bildung;4;Verschiedenes;
2025-04-07;Ausschuss für Umwelt, Technik und Nachhaltigkeit;1;Bekanntgabe der in nicht öffentlicher Sitzung getroffenen Entscheidung/en;
2025-04-07;Ausschuss für Umwelt, Technik und Nachhaltigkeit;2;Kläranlage Bad Waldsee: Durchführungsbeschluss für den Bau eines Nachklärbeckens;SV-29/2025
2025-04-07;Ausschuss für Umwelt, Technik und Nachhaltigkeit;3;Kläranlage Bad Waldsee: Erneuerung der Klärschlammpresse;SV-31/2025
2025-04-07;Ausschuss für Umwelt, Technik und Nachhaltigkeit;4;"Vorhabenbezogener Bebauungsplan ""Frauenbergstraße-Friedhofstraße"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee - Entwurfsbeschluss";SV-4/2025
2025-04-07;Ausschuss für Umwelt, Technik und Nachhaltigkeit;5;"Bebauungsplan ""Drei-Eichen VI"" (Teilbereich B) und die örtlichen Bauvorschriften hierzu, Gemarkung Gaisbeuren - Abwägung und Satzungsbeschluss";SV-5/2025
2025-04-07;Ausschuss für Umwelt, Technik und Nachhaltigkeit;6;"20. Änderung des Flächennutzungsplans im Teilbereich B des Bebauungsplans (R18) ""Drei-Eichen VI"" der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute, Gemarkung Gaisbeuren - Abwägung und Feststellungsbeschluss";SV-13/2025
2025-04-07;Ausschuss für Umwelt, Technik und Nachhaltigkeit;7;Verschiedenes;
2025-04-07;Ausschuss für Umwelt, Technik und Nachhaltigkeit;8;Bekanntgaben;
2025-04-08;Verwaltungsausschuss;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2025-04-08;Verwaltungsausschuss;2;Zuschuss der Regionalmanagementkosten der LEADER-Aktionsgruppe Mittleres Oberschwaben (REMO) – Information über Kostensteigerung;SV-26/2025
2025-04-08;Verwaltungsausschuss;3;Antrag auf Kulturförderung für die Bad Waldseer Künstlernacht;SV-40/2025
2025-04-08;Verwaltungsausschuss;4;Verschiedenes;
2025-04-08;Verwaltungsausschuss;5;Bekanntgaben;
2025-04-28;Gemeinderat;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2025-04-28;Gemeinderat;2;Informationen des Oberbürgermeisters;
2025-04-28;Gemeinderat;3;Musikverein Reute-Gaisbeuren - Zuschuss zu einem Probelokal;SV-69/2025
2025-04-28;Gemeinderat;4;Waldkindergarten - Neuer Standort und Erweiterung um eine Gruppe;SV-54/2025
2025-04-28;Gemeinderat;5;Kläranlage Bad Waldsee: Durchführungsbeschluss für den Bau eines Nachklärbeckens;SV-29/2025
2025-04-28;Gemeinderat;6;"3. Änderung des vorhabenbezogenen Bebauungsplans ""Großflächiger Einzelhandel an der Steinenberger Straße 1"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee - Abwägung und Satzungsbeschluss";SV-95/2024
2025-04-28;Gemeinderat;7;Gewährung eines Betriebsmittelkredits nach Bedarf an die Eigenbetriebe sowie die Stadtwerke GmbH;SV-55/2025
2025-04-28;Gemeinderat;8;Kommanditistenversammlung der Kommunalen Beteiligungsgesellschaft Verwaltungsgesellschaft mbH und Gesellschafterversammlung der Kommunalen Beteiligungsgesellschaft Netze BW GmbH & Co. KG;SV-63/2025
2025-04-28;Gemeinderat;9;Erneute Bestellung zur Geschäftsführerin der Kinder- und Jugendakademie;SV-15/2025
